,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
519,LisheenReelThe,2,6,6,6,6
520,McGoldricksReel,2,2,1,2,1
521,CastlemahonLassesreelThe,7,7,7,11,7
522,CuckoosNesthornpipe,7,11,11,7,11
523,BrightMayMoonreelThe,9,1,1,1,1
524,TomHillshornpipe,2,6,2,4,4
525,GirloftheBigHouseThe,7,2,7,2,6
526,AshmoleanHousereel,2,6,9,6,9
527,ToormoreJigThe,2,2,6,2,6
528,BonnyAnnereel,2,2,1,2,1
529,HagattheKilnslide,7,2,9,2,9
530,EastOfGalway,7,2,9,2,9
531,HighJigThe,9,9,1,9,1
532,FatherAhearnsreel,7,6,2,6,2
533,UpperRoomreelThe,7,2,2,2,2
534,IrelandForever,9,9,1,9,1
535,MunsterShanachieThe,4,6,11,9,11
536,GannonsDozen,2,6,9,6,6
537,LassAmongthePrimrosesreelThe,4,4,11,4,11
538,KevinMahonsreel,2,2,9,2,9
539,MyLoveBetweenTwoRosesreel,2,2,9,2,9
540,BogofAllenThe,2,2,6,2,6
541,HumorsofTuamgraneyThe,9,9,9,9,9
542,SilverSlipperReelThe,2,9,6,6,6
543,HagattheChurnThe,7,2,9,2,9
544,HerGoldenHairWasCurlingDown,2,2,2,2,2
545,TinkersBibreelThe,9,9,4,9,6
546,JohnsonsReel,4,4,11,4,11
547,RakesofDrumlishThe,9,7,11,7,11
548,PrimroseGlenThe,7,2,4,2,4
549,JimmyGiblinsReel,2,2,2,6,2
550,CroninsKitchenpolka,9,4,9,9,9
551,SouthwestWind,2,2,4,2,4
552,TommyWhelansreel,7,7,7,7,7
553,IHaveaBonnetpolka,7,2,2,2,2
554,IdRatherBeMarriedthanLeft,2,9,9,9,9
555,CrossingtheChannel,2,9,9,9,9
556,OCallaghansHornpipe,7,4,4,4,4
557,PulltheKnifeStickItAgain,4,4,4,4,4
558,AchreidhJigThe,0,2,2,2,9
559,DowsersFavoritereelThe,7,11,7,11,7
560,TellHerIAm,7,7,7,7,2
561,WhentheCockCrowsItisDay,7,7,9,7,7
562,IdRatherBeMarriedthanLeftslide,2,9,2,9,2
563,WhyDidntILoveMary,7,9,11,9,11
564,DuffysReel,11,11,11,11,11
565,EleanorKanesreel,7,7,11,7,11
566,CominThrotheRye,2,9,2,6,2
567,BlacksmithreelThe,7,11,2,11,2
568,PrimroseLassreelThe,7,9,11,11,11
569,MarysDreamreel,2,2,2,6,2
570,HisCoworYoursreel,2,2,2,2,2
571,CorneyisComingreel,7,2,2,2,2
572,CurlyMikereel,2,0,9,4,9
573,PhilipOBeirnesDelightreel,2,2,2,2,2
574,AhSurelyreel,7,7,7,7,9
575,BerkshireHeightsreel,2,2,9,2,9
576,MilltownLassesreelThe,0,2,4,2,4
577,MickeyMurphysSlide,2,2,2,2,2
578,ShamrockJigThe,9,4,1,9,1
579,DrunkenGaugersetdanceThe,7,7,11,7,11
580,Lackeysreel,7,7,4,7,7
581,LetsBeDrinking,9,4,4,4,4
582,Walshsreel,7,6,2,7,2
583,LangsternPony,2,9,1,9,1
584,TimDillonsReel,2,6,2,6,2
585,WheelsoftheWorldThe,7,7,11,9,11
586,BlackbirdhornpipeThe,2,9,6,9,6
587,BallinalarkeyMaidsreelThe,7,7,7,7,7
588,MothersDelightreel,2,4,5,4,5
589,TomRowsomesSlide,7,11,0,11,7
